system:index,ZCTA5CE10,.geo
00000000000000000109,56308,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,56309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,56310,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,56312,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,56314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,56315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,56316,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110,56318,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111,56319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112,56320,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113,56321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114,56323,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,56324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116,56326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117,56327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118,56329,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,56330,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,56331,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,56334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,56336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,56338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e,56339,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011f,56340,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,56342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,56343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122,56347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123,56349,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124,56350,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125,56353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126,56354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127,56355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128,56357,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129,56358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a,56359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b,56360,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c,56361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d,56362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,56363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,56364,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,56367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,56373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132,56377,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133,56378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,56379,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,56381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136,56382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137,56385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138,56386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139,56389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a,56435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b,56436,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c,56437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,56441,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e,56442,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f,56443,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140,56444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141,56446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142,56447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143,56448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144,56450,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,56452,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146,56453,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147,56455,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148,56458,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149,56461,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a,48619,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014b,48721,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c,48728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d,04108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,04109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,04411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150,04412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151,04413,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152,04415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153,04416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154,04110,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,04210,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,04216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,04217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158,04219,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159,04220,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a,04222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b,04224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,04226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,04228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015e,05462,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,05463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,05464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161,05465,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162,05841,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000163,05842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164,05845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165,05846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166,05850,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167,05851,"{""type"":""MultiPoint"",""coordinates"":[]}"
